,STATUS,SOC_NAME,POSITION_TYPE,WAGE,YEAR,REGION
1,CERTIFIED,Technical,Y,60424,2011, SOUTH
2,DENIED,Technical,Y,93038,2011, WEST
3,DENIED,Technical,Y,88920,2011, NORTH EAST
4,CERTIFIED,Technical,Y,50128,2011, MID WEST
5,CERTIFIED,Technical,Y,106205,2011, NORTH EAST
6,CERTIFIED,Technical,Y,81806,2011, MID WEST
7,CERTIFIED,Non-Technical,Y,52083.2,2011, NORTH EAST
8,CERTIFIED,Technical,Y,78624,2011, SOUTH
9,CERTIFIED,Technical,Y,49462,2011, SOUTH
10,CERTIFIED,Technical,N,104686.4,2011, SOUTH
11,CERTIFIED,Non-Technical,Y,57387,2011, WEST
12,CERTIFIED,Technical,Y,26874,2011, SOUTH
13,CERTIFIED,Technical,Y,58906,2011, NORTH EAST
14,CERTIFIED,Technical,Y,117666,2011, MID WEST
15,CERTIFIED,Technical,Y,55245,2011, NORTH EAST
16,CERTIFIED,Technical,Y,67101,2011, NORTH EAST
17,CERTIFIED,Non-Technical,N,38667.2,2011, WEST
18,CERTIFIED,Technical,Y,82800,2011, SOUTH
19,CERTIFIED,Non-Technical,Y,33900,2011, WEST
20,CERTIFIED,Technical,Y,68640,2011, SOUTH
21,DENIED,Technical,Y,79370,2011, SOUTH
22,CERTIFIED,Technical,Y,76939,2011, WEST
23,CERTIFIED,Non-Technical,Y,31554,2011, SOUTH
24,CERTIFIED,Technical,Y,60029,2011, SOUTH
25,CERTIFIED,Technical,Y,73621,2011, SOUTH
26,CERTIFIED,Technical,Y,38709,2011, MID WEST
27,DENIED,Technical,Y,63000,2011, WEST
28,CERTIFIED,Technical,Y,54330,2011, SOUTH
29,CERTIFIED,Technical,N,40289.6,2011, SOUTH
30,CERTIFIED,Technical,Y,83242,2011, MID WEST
31,CERTIFIED,Technical,Y,38334,2011, SOUTH
32,CERTIFIED,Technical,Y,51293,2011, SOUTH
33,CERTIFIED,Technical,Y,101629,2011, NORTH EAST
34,CERTIFIED,Technical,Y,83803.2,2011, WEST
35,CERTIFIED,Technical,Y,32594,2011,SOUTH
36,CERTIFIED,Technical,Y,44616,2011, NORTH EAST
37,CERTIFIED,Technical,Y,55952,2011, MID WEST
38,DENIED,Technical,Y,67122,2011, SOUTH
39,CERTIFIED,Technical,Y,37066,2011, WEST
40,DENIED,Technical,Y,66810,2011, NORTH EAST
41,CERTIFIED,Technical,Y,56264,2011, WEST
42,CERTIFIED,Technical,Y,66581,2011, NORTH EAST
43,CERTIFIED,Technical,Y,26291,2011, NORTH EAST
44,CERTIFIED,Technical,Y,48152,2011, NORTH EAST
45,CERTIFIED,Technical,Y,102960,2011, WEST
46,CERTIFIED,Technical,Y,56909,2011, WEST
47,CERTIFIED,Technical,Y,68700,2011, WEST
48,CERTIFIED,Technical,Y,70782,2011, NORTH EAST
49,CERTIFIED,Technical,Y,47154,2011, MID WEST
50,CERTIFIED,Technical,Y,60174,2011, SOUTH
51,CERTIFIED,Technical,Y,65042,2011, WEST
52,CERTIFIED,Technical,Y,36289,2011, NORTH EAST
53,CERTIFIED,Technical,Y,43805,2011,SOUTH
54,CERTIFIED,Technical,Y,92019,2011, WEST
55,CERTIFIED,Non-Technical,Y,47653,2011, WEST
56,CERTIFIED,Technical,Y,92726,2011, MID WEST
57,CERTIFIED,Technical,Y,68099,2011, MID WEST
58,CERTIFIED,Technical,Y,53851,2011, MID WEST
59,DENIED,Technical,Y,123822.4,2011, WEST
60,CERTIFIED,Technical,Y,94889.6,2011, NORTH EAST
61,CERTIFIED,Technical,Y,29848,2011, MID WEST
62,CERTIFIED,Non-Technical,Y,47653,2011, WEST
63,CERTIFIED,Technical,Y,41288,2011, MID WEST
64,DENIED,Technical,Y,94494,2011, SOUTH
65,CERTIFIED,Technical,Y,97282,2011, SOUTH
66,CERTIFIED,Technical,Y,68099,2011, MID WEST
67,CERTIFIED,Technical,Y,67288,2011, WEST
68,DENIED,Technical,Y,44616,2011, NORTH EAST
69,CERTIFIED,Technical,Y,33592,2011, WEST
70,CERTIFIED,Technical,Y,64106,2011, WEST
71,CERTIFIED,Technical,Y,64459.2,2011, NORTH EAST
72,DENIED,Technical,Y,67122,2011, SOUTH
73,CERTIFIED,Technical,Y,47382.4,2011, WEST
74,CERTIFIED,Technical,Y,82826,2011, MID WEST
75,CERTIFIED,Technical,Y,64459.2,2011, NORTH EAST
76,CERTIFIED,Technical,Y,51854,2011, SOUTH
77,CERTIFIED,Technical,Y,36629,2011, WEST
78,CERTIFIED,Technical,N,57345.6,2011, SOUTH
79,DENIED,Technical,Y,59446,2011, SOUTH
